UDS 속성명,Gmarket/Auction 필드명,API 영역,사용 문서 수,UDS 필요도,설명
(계산형) 옵션명1 (name 1) 판매 최대값,itemAddtionalInfo>recommendedOpts>calculation>maxValue1,상품 API,1,✅ 핵심 UDS,1 이상 입력 가능
(계산형) 옵션명1 (name 1) 판매 최소값,itemAddtionalInfo>recommendedOpts>calculation>minValue1,상품 API,1,✅ 핵심 UDS,1 이상 입력 가능
(계산형) 옵션명2,itemAddtionalInfo>recommendedOpts>calculation>name2>kor,상품 API,1,✅ 핵심 UDS,
(계산형) 옵션명2 (name 2) 판매 최대값,itemAddtionalInfo>recommendedOpts>calculation>maxValue2,상품 API,1,✅ 핵심 UDS,1 이상 입력 가능
(계산형) 옵션명2 (name 2) 판매 최소값,itemAddtionalInfo>recommendedOpts>calculation>minValue2,상품 API,1,✅ 핵심 UDS,1 이상 입력 가능
(계산형) 판매 단위,itemAddtionalInfo>recommendedOpts>calculation>unitType,상품 API,1,✅ 핵심 UDS,"입력 가능 단위 ""mm"", ""cm"", ""m"", ""mg"", ""g"", ""kg"", ""ml"", ""l"""
(계산형) 판매 단위값,itemAddtionalInfo>recommendedOpts>calculation>unitValue,상품 API,1,✅ 핵심 UDS,1 이상 입력 가능
(도서상품용) ISBN코드,itemBasicInfo>book>isbnCode,상품 API,1,✅ 핵심 UDS,도서 카테고리 등록시 isUseIsbnCode : true 로 연동하는 경우 필수
(도서상품용) ISBN코드 사용여부,itemBasicInfo>book>isUseIsbnCode,상품 API,1,✅ 핵심 UDS,도서 카테고리 등록시 필수 true : ISBN 코드 입력 false : ISBN 코드 미입력
(도서상품용) 도서 정가,itemBasicInfo>book>price,상품 API,1,✅ 핵심 UDS,도서 카테고리 등록시 필수
(반품/교환 주소) 판매자주소번호,itemAddtionalInfo>shipping>returnAndExchange>addrNo,상품 API,1,✅ 핵심 UDS,
(사용불가),"addtionalInfo>gift, itemAddtionalInfo>isYouthNotAvailable, itemAddtionalInfo>shipping>returnAndExchange>shippingCompany",상품 API,1,✅ 핵심 UDS,- 원배송 택배사와 동일하게 자동 설정 - 입력해도 처리되지 않음
(사용불가) (G마켓용) 가격비교사이트 쿠폰적용여부,addtionalInfo>pcs>isUseGmkPcsCoupon,상품 API,1,✅ 핵심 UDS,- G마켓 쿠폰적용여부 설정 불가 - 상품 노출 여부만 가능
(사용종료) (옥션상품용) 용량/규격 값,itemAddtionalInfo>capacity>vol,상품 API,1,✅ 핵심 UDS,주문 선택별로 용량이 다른 상품일 경우 등록함
(사용종료) (옥션상품용) 용량/규격 단위,itemAddtionalInfo>capacity>unit,상품 API,1,✅ 핵심 UDS,아래 단위 중 선택하여 1개 입력 0 : 없음 / 1 : m / 2 : g / 3 : kg / 4 : 개 / 5 : 리터 / 6 : ml / 7 : mm / 8 : 마리 / 9 : 봉 / 10 : p / 11 : cm / 12 : box / 13 : mg / 14 : 팩 / 15 : 단 / 16 : 캅셀 / 17 : 캡슐 / 18 : 정 / 19 : 병 / 20 : 포 / 21 : 100g
(선택형/조합형) G마켓 재고수량,itemAddtionalInfo>recommendedOpts>independent>details>qty>gmkt,상품 API,1,✅ 핵심 UDS,- G마켓 옵션 재고 수량 입력 - 옵션 재고관리 안함 설정시 0 입력 필요
(선택형/조합형) 노출여부,itemAddtionalInfo>recommendedOpts>independent>details>isDisplay,상품 API,1,✅ 핵심 UDS,옵션의 노출 여부 제어 true : 노출 false : 미노출
(선택형/조합형) 노출여부 - 사이트별 G마켓,"itemAddtionalInfo>recommendedOpts>independent>details>isDisplaySite>gmkt, itemAddtionalInfo>recommendedOpts>independent>details>isDisplaySite>iac",상품 API,1,✅ 핵심 UDS,G마켓 옵션의 노출 여부 제어 true : 노출 false : 미노출 ※ 사이트별 설정 ( inputType : 1)인 경우 제어 가능
(선택형/조합형) 옥션 재고수량,itemAddtionalInfo>recommendedOpts>independent>details>qty>iac,상품 API,1,✅ 핵심 UDS,- 옥션 옵션 재고 수량 입력 - 옵션 재고관리 안함 설정시 0 입력 필요
(선택형/조합형) 추천옵션명 (국문) 직접입력,"independent>recommendedOptName>koreanText, itemAddtionalInfo>recommendedOpts>independent>recommendedOptName>koreanText","Other, 상품 API",2,✅ 핵심 UDS,직접입력 허용 카테고리에 옵션명 직접입력 설정하는 경우
(선택형/조합형) 추천옵션명 (영문) 직접입력,"independent>recommendedOptName>englishText, itemAddtionalInfo>recommendedOpts>independent>recommendedOptName>englishText","Other, 상품 API",2,✅ 핵심 UDS,
(선택형/조합형) 추천옵션명 (일문) 직접입력,"independent>recommendedOptName>japaneseText, itemAddtionalInfo>recommendedOpts>independent>recommendedOptName>japaneseText","Other, 상품 API",2,✅ 핵심 UDS,
(선택형/조합형) 추천옵션명 (중문) 직접입력,"independent>recommendedOptName>chineseText, itemAddtionalInfo>recommendedOpts>independent>recommendedOptName>chineseText","Other, 상품 API",2,✅ 핵심 UDS,
(선택형/조합형) 추천옵션코드,itemAddtionalInfo>recommendedOpts>independent>recommendedOptNo,상품 API,1,✅ 핵심 UDS,추천옵션 사용일 경우 필수 카테고리별 추천옵션 조회 API에서 매칭된 코드 입력 ( 참고 )
(선택형/조합형) 추천옵션항목 (국문)직접입력,itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValue>koreanText,상품 API,1,✅ 핵심 UDS,추천 옵션 항목 코드를 사용하지 않고 직접 입력할 경우 * 색상 등 직접 입력이 허용된 추천 옵션 코드에서만 사용 가능
(선택형/조합형) 추천옵션항목 (영문)직접입력,itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValue>englishText,상품 API,1,✅ 핵심 UDS,
(선택형/조합형) 추천옵션항목 (일문)직접입력,itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValue>japaneseText,상품 API,1,✅ 핵심 UDS,
(선택형/조합형) 추천옵션항목 (중문)직접입력,itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValue>chineseText,상품 API,1,✅ 핵심 UDS,
(선택형/조합형) 추천옵션항목코드,itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValueNo,상품 API,1,✅ 핵심 UDS,추천옵션 사용일 경우 필수 추천옵션별 선택항목 조회 API에서 매칭된 코드 입력 ( 참고 )
(선택형/조합형) 판매자옵션관리코드,itemAddtionalInfo>recommendedOpts>independent>details>manageCode,상품 API,1,✅ 핵심 UDS,- 관리하는 옵션 코드 입력 - 20byte 이내 입력 가능
(선택형/조합형) 품절여부,itemAddtionalInfo>recommendedOpts>independent>details>isSoldOut,상품 API,1,✅ 핵심 UDS,옵션의 품절 여부 제어 (옵션 재고 수량으로 제어하지 않음) true : 품절 false : 판매
(선택형/조합형) 품절여부 - 사이트별 G마켓,itemAddtionalInfo>recommendedOpts>independent>details>isSoldOutSite>gmkt,상품 API,1,✅ 핵심 UDS,G마켓 옵션의 품절 여부 제어 (옵션 재고 수량으로 제어하지 않음) true : 품절 false : 판매 ※ 사이트별 설정 ( inputType : 1)인 경우 제어 가능
(선택형/조합형) 품절여부 - 사이트별 옥션,itemAddtionalInfo>recommendedOpts>independent>details>isSoldOutSite>iac,상품 API,1,✅ 핵심 UDS,옥션 옵션의 품절 여부 제어 (옵션 재고 수량으로 제어하지 않음) true : 품절 false : 판매 ※ 사이트별 설정 ( inputType : 1)인 경우 제어 가능
(옥션) 거래완료 후 환불 (송금 후 취소) 여부,Data>CancelAfterRemitYN,정산조회 API,1,✅ 핵심 UDS,Y : 거래완료 후 환불 (송금 후 취소) N : 정상
(옥션)배송요청시간,data>AllocationDate,주문/배송 API,1,✅ 핵심 UDS,- 당일배송 주문에 내려가는 정보 - 고객이 선택한 배송테이블 시작시간 데이터 (추후 G마켓 형태로 변경 예정)
(옥션)복수구매할인,data>MultiBuyDcAmnt,주문/배송 API,1,✅ 핵심 UDS,복수구매할인 적용금액
(옥션)우수구매할인,data>GreatMembDcAmnt,주문/배송 API,1,✅ 핵심 UDS,(우수할인 종료로 사용되지 않음)
(옥션용) 가격비교사이트 쿠폰적용여부,addtionalInfo>pcs>isUseIacPcsCoupon,상품 API,1,✅ 핵심 UDS,- 가격비교사이트에 상품할인적용 여부 - 가격비교사이트 상품 노출하지만 쿠폰 적용 안되도록 설정 가능 true : 적용 false : 미적용
(옥션용) 건강기능식품인증여부,itemAddtionalInfo>certInfo>iac>healthFood>isUse,상품 API,1,✅ 핵심 UDS,true : 신고대상 false : 신고대상 아님
(옥션용) 건강기능식품판매업 신고기관명,itemAddtionalInfo>certInfo>iac>healthFood>certOfficeName,상품 API,1,✅ 핵심 UDS,건강기능식품 인증여부 true일 경우 필수
(옥션용) 발송정책번호,itemAddtionalInfo>shipping>dispatchPolicyNo>iac,상품 API,1,✅ 핵심 UDS,옥션 발송정책번호 입력 동시 등록시 지마켓과 동일한 정책 번호 입력
(옥션용) 방송통신기기인증정보상 품상세별도표기,itemAddtionalInfo>certInfo>iac>broadcastEquipment>isAddtionalCondition,상품 API,1,✅ 핵심 UDS,방송통신기기 인증 사용 여부 true일 경우 필수
(옥션용) 사이트부담 지원할인,addtionalInfo>siteDiscount>iac,상품 API,1,✅ 핵심 UDS,옥션 부담 사이트 할인 적용 여부 true : 적용 false : 적용하지 않음
(옥션용) 사전광고 심의번호,itemAddtionalInfo>certInfo>iac>healthFood>adDeliberationNo,상품 API,1,✅ 핵심 UDS,건강기능식품 인증여부 true일 경우 필수
(옥션용) 식품제조가공업 입력사항 여부,itemAddtionalInfo>certInfo>iac>food>isUse,상품 API,1,✅ 핵심 UDS,true : 신고대상 false : 신고대상 아님
(옥션용) 신고기관명,itemAddtionalInfo>certInfo>iac>food>certOfficeName,상품 API,1,✅ 핵심 UDS,
(옥션용) 신고번호,"itemAddtionalInfo>certInfo>iac>food>certId, itemAddtionalInfo>certInfo>iac>healthFood>certId",상품 API,1,✅ 핵심 UDS,건강기능식품 인증여부 true일 경우 필수
(옥션용) 유효기간,itemAddtionalInfo>eCoupon>period,상품 API,1,✅ 핵심 UDS,- 옥션 등록시에만 설정 가능 - 최대 365 까지 설정 가능
(옥션용) 의료기기 사전 광고 심의 번호,itemAddtionalInfo>certInfo>iac>medicalInstrument>adDeliberationId,상품 API,1,✅ 핵심 UDS,의료기기 인증 사용여부 true일 경우 필수
(옥션용) 의료기기 인증 사용 여부,itemAddtionalInfo>certInfo>iac>medicalInstrument>isUse,상품 API,1,✅ 핵심 UDS,true : 신고대상 false : 신고대상 아님
(옥션용) 의료기기 판매신고 번호,itemAddtionalInfo>certInfo>iac>medicalInstrument>certId,상품 API,1,✅ 핵심 UDS,의료기기 인증 사용 여부 true일 경우 필수
(옥션용) 의료기기 판매신고기관명,itemAddtionalInfo>certInfo>iac>medicalInstrument>certOfficeName,상품 API,1,✅ 핵심 UDS,의료기기 인증 사용 여부 true일 경우 필수
(옥션용) 의료기기 품목 허가 번호,itemAddtionalInfo>certInfo>iac>medicalInstrument>itemLicenseId,상품 API,1,✅ 핵심 UDS,의료기기 인증 사용 여부 true일 경우 필수
(옥션용) 친환경 인증번호,itemAddtionalInfo>certInfo>iac>environmentFriendly>certId,상품 API,1,✅ 핵심 UDS,친환경 인증여부 true일 경우 필수
(옥션용) 친환경 인증여부,itemAddtionalInfo>certInfo>iac>environmentFriendly>isUse,상품 API,1,✅ 핵심 UDS,true : 친환경 인증상품 false : 친환경 인증상품 아님
(옥션용) 판매상태 변경,isSell>iac,상품 API,1,✅ 핵심 UDS,- 상품수정/전환 API 호출 시 필수 설정 - 등록 시 상태 설정은 불가 true : 판매가능 false : 판매중지
(옥션용)Unique코드,BizRuleCode,클레임 API,13,✅ 핵심 UDS,ResultCode가 8668(비즈니스에러)일 경우 사유별 처리 가능하도록 Unique 코드 내려감
(청소년) 미성년자 구매 여부,itemAddtionalInfo>isAdultProduct,상품 API,1,✅ 핵심 UDS,true : 성인상품 false : 일반상품
(텍스트형) 노출여부,itemAddtionalInfo>recommendedOpts>text>details>value>isDisplay,상품 API,1,✅ 핵심 UDS,true : 노출 false : 미노출
(텍스트형) 추천옵션코드,itemAddtionalInfo>recommendedOpts>text>details>value>recommendedOptNo,상품 API,1,✅ 핵심 UDS,추천옵션별 선택항목 조회 API에서 매칭된 코드 입력 ( 참고 )
1.0→2.0 전환여부,isConverted,상품 API,1,✅ 핵심 UDS,조회 시 내려가는 정보
AcntMoney,AcntMoney,주문/배송 API,2,✅ 핵심 UDS,JSON sample key
AddReturnShippingFee,AddReturnShippingFee,클레임 API,1,✅ 핵심 UDS,JSON sample key
AddReturnShippingFeeWay,AddReturnShippingFeeWay,클레임 API,1,✅ 핵심 UDS,JSON sample key
AddShippingFee,AddShippingFee,클레임 API,1,✅ 핵심 UDS,JSON sample key
AddressBack,AddressBack,클레임 API,2,✅ 핵심 UDS,JSON sample key
AddressFront,AddressFront,클레임 API,2,✅ 핵심 UDS,JSON sample key
AdultYn,AdultYn,스타배송 API,2,✅ 핵심 UDS,JSON sample key
AllocationDate,AllocationDate,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
AllocationEndDate,AllocationEndDate,"주문/배송 API, 클레임 API",2,✅ 핵심 UDS,JSON sample key
AllocationStartDate,AllocationStartDate,"주문/배송 API, 클레임 API",2,✅ 핵심 UDS,JSON sample key
ApproveDate,ApproveDate,클레임 API,3,✅ 핵심 UDS,JSON sample key
ApproveUser,ApproveUser,클레임 API,3,✅ 핵심 UDS,JSON sample key
BOX 수량 / 운송장수량,Data>BoxCnt,스타배송 API,1,✅ 핵심 UDS,합포일 경우 1 로 Return 분리포일경우 분리포된 전체 운송장 수량 내려감
BackwoodsAddDeliveryFee,BackwoodsAddDeliveryFee,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
BarcodeServiceYn,BarcodeServiceYn,스타배송 API,1,✅ 핵심 UDS,JSON sample key
BasicCommission,BasicCommission,정산조회 API,1,✅ 핵심 UDS,JSON sample key
BasicServiceFee,BasicServiceFee,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
BizRuleCode,BizRuleCode,클레임 API,13,✅ 핵심 UDS,JSON sample key
Bonus,Bonus,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
BonusCode,BonusCode,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
BoxCnt,BoxCnt,스타배송 API,1,✅ 핵심 UDS,JSON sample key
BoxQty,BoxQty,스타배송 API,1,✅ 핵심 UDS,JSON sample key
BoxSize,BoxSize,스타배송 API,2,✅ 핵심 UDS,JSON sample key
BranchCode,BranchCode,"서비스 API, 정산조회 API, 주문/배송 API, 클레임 API",5,✅ 핵심 UDS,JSON sample key
BranchPrice,BranchPrice,"정산조회 API, 주문/배송 API",2,✅ 핵심 UDS,JSON sample key
BranchServiceType,BranchServiceType,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
BrandName,BrandName,스타배송 API,1,✅ 핵심 UDS,JSON sample key
BrandNo,BrandNo,스타배송 API,2,✅ 핵심 UDS,JSON sample key
BsStockQty,BsStockQty,스타배송 API,1,✅ 핵심 UDS,JSON sample key
BundleType,BundleType,스타배송 API,5,✅ 핵심 UDS,JSON sample key
BuyDecisionDate,BuyDecisionDate,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
BuyDecisonDate,BuyDecisonDate,정산조회 API,1,✅ 핵심 UDS,JSON sample key
BuyerId,BuyerId,주문/배송 API,2,✅ 핵심 UDS,JSON sample key
BuyerMobileTel,BuyerMobileTel,주문/배송 API,2,✅ 핵심 UDS,JSON sample key
BuyerPayAmt,BuyerPayAmt,정산조회 API,1,✅ 핵심 UDS,JSON sample key
CancelAfterRemitYN,CancelAfterRemitYN,정산조회 API,1,✅ 핵심 UDS,JSON sample key
CancelComment,CancelComment,클레임 API,1,✅ 핵심 UDS,JSON sample key
CancelDate,CancelDate,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
CargoCapacity,CargoCapacity,스타배송 API,1,✅ 핵심 UDS,JSON sample key
CategoryCode,CategoryCode,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
CategoryCode1,CategoryCode1,스타배송 API,1,✅ 핵심 UDS,JSON sample key
CategoryCode2,CategoryCode2,스타배송 API,1,✅ 핵심 UDS,JSON sample key
CategoryCode3,CategoryCode3,스타배송 API,1,✅ 핵심 UDS,JSON sample key
CategoryName1,CategoryName1,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
CategoryName2,CategoryName2,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
CategoryName3,CategoryName3,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
ChannelCode,ChannelCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
ChannelOrderNo,ChannelOrderNo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
ClaimCancelType,ClaimCancelType,클레임 API,1,✅ 핵심 UDS,JSON sample key
ClaimDate,ClaimDate,"스타배송 API, 클레임 API",2,✅ 핵심 UDS,JSON sample key
ClaimDetailReason,ClaimDetailReason,클레임 API,1,✅ 핵심 UDS,JSON sample key
ClaimInvoiceNo,ClaimInvoiceNo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
ClaimReason,ClaimReason,클레임 API,1,✅ 핵심 UDS,JSON sample key
ClaimSeqNo,ClaimSeqNo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
ClaimSkuDetail,ClaimSkuDetail,스타배송 API,1,✅ 핵심 UDS,JSON sample key
ClaimSolveDate,ClaimSolveDate,클레임 API,1,✅ 핵심 UDS,JSON sample key
ClaimStatus,ClaimStatus,"스타배송 API, 주문/배송 API",2,✅ 핵심 UDS,JSON sample key
Color,Color,스타배송 API,1,✅ 핵심 UDS,JSON sample key
CompleteDate,CompleteDate,"Other, 스타배송 API, 클레임 API",5,✅ 핵심 UDS,JSON sample key
Condition,Condition,스타배송 API,1,✅ 핵심 UDS,JSON sample key
ContrAmount,ContrAmount,주문/배송 API,2,✅ 핵심 UDS,JSON sample key
CorpDiscountTotalPrice,CorpDiscountTotalPrice,정산조회 API,1,✅ 핵심 UDS,JSON sample key
CostPrice,CostPrice,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
Currency,Currency,정산조회 API,1,✅ 핵심 UDS,JSON sample key
CurrencyTransferAmountForeign,CurrencyTransferAmountForeign,정산조회 API,1,✅ 핵심 UDS,JSON sample key
DailyTplKeepGradeCode,DailyTplKeepGradeCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
Data>PageIndex,Data>PageIndex,"Other, 스타배송 API",9,✅ 핵심 UDS,조회시 입력한 PageNo
